Gene symbol,P-value (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),FDR step up (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),Fold change (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11)
RN7SL731P,8.86E-01,9.61E-01,-1.01E+00
SFSWAP,8.72E-01,9.56E-01,-1.01E+00
SEPT7P2,9.55E-01,9.86E-01,-1.01E+00
CDCA8,9.09E-01,9.68E-01,-1.01E+00
ANKRD13C,8.77E-01,9.58E-01,-1.01E+00
AC021078.1,9.94E-01,9.98E-01,-1.01E+00
FBXO9,9.10E-01,9.68E-01,-1.01E+00
SH3BP4,9.44E-01,9.82E-01,-1.01E+00
RCAN1,8.94E-01,9.65E-01,-1.01E+00
SPIDR,9.80E-01,9.94E-01,-1.01E+00
ATP5IF1,8.38E-01,9.44E-01,-1.01E+00
HDAC8,9.19E-01,9.72E-01,-1.01E+00
LY6E,8.69E-01,9.55E-01,-1.01E+00
DNAJC9,9.00E-01,9.65E-01,-1.01E+00
CCZ1B,7.85E-01,9.22E-01,-1.01E+00
SON,7.79E-01,9.19E-01,-1.01E+00
CCDC66,8.78E-01,9.58E-01,-1.01E+00
TMEM206,9.68E-01,9.90E-01,-1.01E+00
BAG5,8.08E-01,9.31E-01,-1.01E+00
ATP6V1B2,9.63E-01,9.89E-01,-1.01E+00
PPP1CA,8.82E-01,9.60E-01,-1.01E+00
CCNY,9.56E-01,9.87E-01,-1.01E+00
WWP2,9.31E-01,9.77E-01,-1.01E+00
SRP9,9.64E-01,9.89E-01,-1.01E+00
ZC3H7A,9.32E-01,9.77E-01,-1.01E+00
SNHG19,8.59E-01,9.52E-01,-1.01E+00
DPP3,9.61E-01,9.89E-01,-1.01E+00
MEPCE,8.86E-01,9.61E-01,-1.01E+00
SUPT5H,8.11E-01,9.33E-01,-1.01E+00
BCAP29,9.29E-01,9.76E-01,-1.01E+00
SLC25A14,8.72E-01,9.56E-01,-1.01E+00
GNPDA1,8.05E-01,9.30E-01,-1.01E+00
FAM133CP,8.87E-01,9.62E-01,-1.01E+00
AC027097.1,5.55E-01,7.89E-01,-1.01E+00
MTHFD1L,9.27E-01,9.76E-01,-1.01E+00
KCTD5,9.92E-01,9.98E-01,-1.01E+00
GID4,8.95E-01,9.65E-01,-1.01E+00
RAB13,8.70E-01,9.55E-01,-1.01E+00
HMGN1P4,9.07E-01,9.67E-01,-1.01E+00
ANKRD26,8.13E-01,9.34E-01,-1.01E+00
PRKAR1A,9.22E-01,9.73E-01,-1.01E+00
NDUFB5,9.60E-01,9.89E-01,-1.01E+00
MAP3K3,8.92E-01,9.64E-01,-1.01E+00
EIF2B1,9.11E-01,9.68E-01,-1.01E+00
SERBP1P5,8.83E-01,9.60E-01,-1.01E+00
PLEK2,9.99E-01,1.00E+00,-1.01E+00
PLEKHM2,8.78E-01,9.58E-01,-1.01E+00
HEMK1,9.67E-01,9.90E-01,-1.01E+00
DEF8,8.58E-01,9.51E-01,-1.01E+00
RPL26P30,8.42E-01,9.46E-01,-1.01E+00
FRG1HP,8.93E-01,9.64E-01,-1.01E+00
AC006504.8,8.34E-01,9.43E-01,-1.02E+00
MDN1,8.38E-01,9.44E-01,-1.02E+00
THRA,8.70E-01,9.55E-01,-1.02E+00
ATF4,8.80E-01,9.59E-01,-1.02E+00
PPP6R3,8.69E-01,9.55E-01,-1.02E+00
MRFAP1,9.23E-01,9.73E-01,-1.02E+00
RABIF,8.81E-01,9.59E-01,-1.02E+00
KCMF1,7.78E-01,9.19E-01,-1.02E+00
ROMO1,8.11E-01,9.33E-01,-1.02E+00
FBXO31,9.94E-01,9.98E-01,-1.02E+00
DIAPH2,9.66E-01,9.90E-01,-1.02E+00
TMEM161B,7.82E-01,9.21E-01,-1.02E+00
TCF19,8.75E-01,9.57E-01,-1.02E+00
CRAT,9.55E-01,9.86E-01,-1.02E+00
MTERF3,9.03E-01,9.66E-01,-1.02E+00
RBL2,9.10E-01,9.68E-01,-1.02E+00
AHSA2P,9.35E-01,9.78E-01,-1.02E+00
RNF44,9.02E-01,9.66E-01,-1.02E+00
FBXW11,8.74E-01,9.57E-01,-1.02E+00
LINC00941,7.68E-01,9.15E-01,-1.02E+00
ARHGAP5,9.06E-01,9.67E-01,-1.02E+00
MINCR,8.96E-01,9.65E-01,-1.02E+00
BRD9,8.62E-01,9.53E-01,-1.02E+00
KRTCAP2,8.51E-01,9.50E-01,-1.02E+00
HELLPAR,8.72E-01,9.56E-01,-1.02E+00
FAM216A,9.24E-01,9.74E-01,-1.02E+00
AC026462.1,8.90E-01,9.63E-01,-1.02E+00
NDFIP2,9.93E-01,9.98E-01,-1.02E+00
FUZ,9.83E-01,9.95E-01,-1.02E+00
NOP9,8.55E-01,9.51E-01,-1.02E+00
CEBPG,8.26E-01,9.39E-01,-1.02E+00
AJUBA,9.51E-01,9.84E-01,-1.02E+00
WDR20,9.14E-01,9.69E-01,-1.02E+00
NTMT1,8.78E-01,9.58E-01,-1.02E+00
MANF,9.35E-01,9.78E-01,-1.02E+00
PEX11B,8.99E-01,9.65E-01,-1.02E+00
PARP2,8.24E-01,9.38E-01,-1.02E+00
COMMD3,7.79E-01,9.19E-01,-1.02E+00
LPAR6,9.93E-01,9.98E-01,-1.02E+00
PDHA1,7.60E-01,9.10E-01,-1.02E+00
KCTD10,9.49E-01,9.84E-01,-1.02E+00
SMG6,8.54E-01,9.50E-01,-1.02E+00
TACC1,8.32E-01,9.42E-01,-1.02E+00
ZBTB18,8.93E-01,9.64E-01,-1.02E+00
CLTB,8.61E-01,9.52E-01,-1.02E+00
TRIP12,7.95E-01,9.26E-01,-1.02E+00
RMND5A,9.93E-01,9.98E-01,-1.02E+00
ARFRP1,9.14E-01,9.69E-01,-1.02E+00
ACAT2,7.54E-01,9.07E-01,-1.02E+00
SYNCRIP,7.90E-01,9.24E-01,-1.02E+00
RPS6KA6,7.95E-02,2.66E-01,-1.02E+00
MGAT5B,5.99E-02,2.23E-01,-1.02E+00
MICAL3,9.94E-01,9.98E-01,-1.02E+00
C12orf65,8.59E-01,9.52E-01,-1.02E+00
ORMDL2,8.61E-01,9.52E-01,-1.02E+00
POLR1B,9.70E-01,9.91E-01,-1.02E+00
MSH6,8.26E-01,9.39E-01,-1.02E+00
ETAA1,8.96E-01,9.65E-01,-1.02E+00
PHF11,8.96E-01,9.65E-01,-1.02E+00
JDP2,9.03E-01,9.66E-01,-1.02E+00
NBPF15,8.72E-01,9.56E-01,-1.02E+00
C18orf54,9.95E-01,9.99E-01,-1.02E+00
MPHOSPH8,8.53E-01,9.50E-01,-1.02E+00
MPRIPP1,9.11E-01,9.68E-01,-1.02E+00
STIP1P3,7.41E-01,9.00E-01,-1.02E+00
BRAP,9.33E-01,9.78E-01,-1.02E+00
TKT,8.27E-01,9.39E-01,-1.02E+00
SMIM30,9.37E-01,9.79E-01,-1.02E+00
CCNDBP1,8.69E-01,9.55E-01,-1.02E+00
FAM234B,8.82E-01,9.60E-01,-1.02E+00
WDR59,9.09E-01,9.68E-01,-1.02E+00
TPX2,7.75E-01,9.18E-01,-1.02E+00
RNASEL,6.24E-01,8.33E-01,-1.02E+00
TRDMT1,9.67E-01,9.90E-01,-1.02E+00
GOLGA6L9,7.42E-01,9.01E-01,-1.02E+00
ZNF613,8.72E-01,9.56E-01,-1.02E+00
PFN2,9.28E-01,9.76E-01,-1.02E+00
RAB31,7.79E-01,9.19E-01,-1.02E+00
TP53I13,8.68E-01,9.55E-01,-1.02E+00
HUS1,9.07E-01,9.67E-01,-1.02E+00
HDGFL2,8.25E-01,9.38E-01,-1.02E+00
NSRP1,7.46E-01,9.02E-01,-1.02E+00
SNRNP25,8.24E-01,9.38E-01,-1.02E+00
HSP90AB3P,7.70E-01,9.16E-01,-1.02E+00
ELMSAN1,8.58E-01,9.51E-01,-1.02E+00
STX6,8.25E-01,9.39E-01,-1.02E+00
YOD1,9.06E-01,9.67E-01,-1.02E+00
DNAJC21,7.26E-01,8.93E-01,-1.02E+00
AL359504.2,9.59E-01,9.88E-01,-1.02E+00
KATNB1,9.19E-01,9.71E-01,-1.02E+00
EIF4G1,7.99E-01,9.28E-01,-1.02E+00
E2F4,9.40E-01,9.80E-01,-1.02E+00
TMEM8B,9.56E-01,9.87E-01,-1.02E+00
MTMR4,8.52E-01,9.50E-01,-1.02E+00
DHX8,8.15E-01,9.34E-01,-1.02E+00
USF2,8.58E-01,9.51E-01,-1.02E+00
PLEKHG2,9.06E-01,9.67E-01,-1.02E+00
MZT1,9.30E-01,9.77E-01,-1.02E+00
NETO2,8.05E-01,9.30E-01,-1.02E+00
ACOT9,7.98E-01,9.28E-01,-1.02E+00
SCARNA16,8.57E-01,9.51E-01,-1.02E+00
TMEM259,8.69E-01,9.55E-01,-1.02E+00
TLK1,7.91E-01,9.24E-01,-1.02E+00
ZYG11B,8.16E-01,9.35E-01,-1.02E+00
MYPOP,9.74E-01,9.92E-01,-1.02E+00
LRCH4,8.84E-01,9.61E-01,-1.02E+00
POP5,9.41E-01,9.81E-01,-1.02E+00
ZNF12,9.44E-01,9.82E-01,-1.02E+00
METTL8,8.17E-01,9.35E-01,-1.02E+00
KLC2,9.48E-01,9.84E-01,-1.02E+00
TMEM222,9.03E-01,9.66E-01,-1.02E+00
NFIA,8.19E-01,9.36E-01,-1.02E+00
ZSCAN16,8.41E-01,9.45E-01,-1.02E+00
DISP1,9.76E-01,9.92E-01,-1.02E+00
CAAP1,8.65E-01,9.54E-01,-1.02E+00
IMPA2,9.19E-01,9.72E-01,-1.02E+00
CTSD,8.35E-01,9.43E-01,-1.02E+00
NUP93,9.54E-01,9.86E-01,-1.02E+00
RAD51D,8.33E-01,9.42E-01,-1.02E+00
PIP4P1,8.29E-01,9.40E-01,-1.02E+00
POLR2K,8.91E-01,9.64E-01,-1.02E+00
CNTRL,8.47E-01,9.48E-01,-1.02E+00
SGTB,9.25E-01,9.75E-01,-1.02E+00
COA3,8.14E-01,9.34E-01,-1.02E+00
RTL8C,7.64E-01,9.12E-01,-1.02E+00
FASTKD2,9.10E-01,9.68E-01,-1.02E+00
TVP23C-CDRT4,9.07E-01,9.67E-01,-1.02E+00
TBX18,9.06E-01,9.67E-01,-1.02E+00
ZNF273,9.73E-01,9.92E-01,-1.02E+00
SRSF3,7.21E-01,8.89E-01,-1.02E+00
ZNF33A,7.73E-01,9.17E-01,-1.02E+00
SUGT1,7.68E-01,9.15E-01,-1.02E+00
PPP4R1L,9.70E-01,9.91E-01,-1.02E+00
BZW1P2,9.06E-01,9.67E-01,-1.02E+00
NDUFA7,9.14E-01,9.68E-01,-1.02E+00
NRBP1,7.26E-01,8.93E-01,-1.02E+00
KMT2B,8.53E-01,9.50E-01,-1.02E+00
RUSC1,8.56E-01,9.51E-01,-1.02E+00
TRMU,8.55E-01,9.51E-01,-1.02E+00
TMEM33,8.34E-01,9.42E-01,-1.02E+00
GRAMD1A,7.33E-01,8.96E-01,-1.02E+00
DENND4C,7.89E-01,9.24E-01,-1.02E+00
MZF1-AS1,9.96E-01,9.99E-01,-1.02E+00
DUSP7,9.95E-01,9.99E-01,-1.02E+00
UQCRQ,7.54E-01,9.07E-01,-1.02E+00
AP2B1,7.46E-01,9.03E-01,-1.02E+00
CCDC51,9.35E-01,9.78E-01,-1.02E+00
SYTL3,9.41E-01,9.81E-01,-1.02E+00
KLHL9,8.92E-01,9.64E-01,-1.02E+00
ERVK3-1,7.11E-01,8.84E-01,-1.02E+00
MGA,7.63E-01,9.11E-01,-1.02E+00
SHARPIN,9.28E-01,9.76E-01,-1.02E+00
C14orf119,8.53E-01,9.50E-01,-1.02E+00
ARPC4,7.75E-01,9.18E-01,-1.02E+00
RELA,8.17E-01,9.35E-01,-1.02E+00
SKP2,9.50E-01,9.84E-01,-1.02E+00
AC016949.1,9.02E-01,9.66E-01,-1.02E+00
BOLA2-SMG1P6,8.67E-01,9.54E-01,-1.02E+00
ORC5,9.26E-01,9.75E-01,-1.02E+00
TBC1D23,8.74E-01,9.56E-01,-1.02E+00
TCHP,8.33E-01,9.42E-01,-1.02E+00
ZMYM4,7.90E-01,9.24E-01,-1.02E+00
DAAM1,8.63E-01,9.53E-01,-1.02E+00
MACF1,7.04E-01,8.81E-01,-1.02E+00
GLUD1,7.93E-01,9.25E-01,-1.02E+00
FAM120C,6.62E-01,8.57E-01,-1.02E+00
RNF6,8.49E-01,9.49E-01,-1.02E+00
LSM12P1,8.42E-01,9.46E-01,-1.02E+00
FKBP14,8.59E-01,9.52E-01,-1.02E+00
CAMTA2,9.35E-01,9.78E-01,-1.02E+00
ORAI3,9.64E-01,9.89E-01,-1.02E+00
POLN,9.76E-01,9.92E-01,-1.02E+00
ZC3H13,6.30E-01,8.36E-01,-1.02E+00
DLST,7.86E-01,9.22E-01,-1.02E+00
WDR77,8.81E-01,9.59E-01,-1.03E+00
IL13RA1,7.18E-01,8.88E-01,-1.03E+00
SSU72,8.03E-01,9.30E-01,-1.03E+00
PIEZO1,8.95E-01,9.65E-01,-1.03E+00
NUPR1,9.46E-01,9.83E-01,-1.03E+00
CS,8.62E-01,9.53E-01,-1.03E+00
GMDS,8.68E-01,9.55E-01,-1.03E+00
TIMM8A,7.04E-01,8.81E-01,-1.03E+00
LRFN3,9.97E-01,1.00E+00,-1.03E+00
C1orf43,9.20E-01,9.72E-01,-1.03E+00
DPCD,8.30E-01,9.41E-01,-1.03E+00
FAM89B,9.58E-01,9.87E-01,-1.03E+00
LTBR,8.08E-01,9.32E-01,-1.03E+00
PSMA2,9.01E-01,9.66E-01,-1.03E+00
SPG7,6.44E-01,8.44E-01,-1.03E+00
CUL4B,9.01E-01,9.66E-01,-1.03E+00
GSTP1,7.97E-01,9.27E-01,-1.03E+00
HMGB1,8.00E-01,9.28E-01,-1.03E+00
RF00100,8.16E-01,9.35E-01,-1.03E+00
ZNF317,9.57E-01,9.87E-01,-1.03E+00
MRPL49,9.32E-01,9.78E-01,-1.03E+00
ZBTB25,8.09E-01,9.32E-01,-1.03E+00
YY1AP1,8.40E-01,9.45E-01,-1.03E+00
VSIG10L,6.10E-02,2.25E-01,-1.03E+00
NIFK-AS1,9.71E-01,9.91E-01,-1.03E+00
ALG14,9.85E-01,9.96E-01,-1.03E+00
C1orf123,8.86E-01,9.61E-01,-1.03E+00
EP400,7.38E-01,8.98E-01,-1.03E+00
NKAP,7.24E-01,8.91E-01,-1.03E+00
TRIM16,7.53E-01,9.07E-01,-1.03E+00
SLC31A2,9.83E-01,9.95E-01,-1.03E+00
CTBP1,8.76E-01,9.57E-01,-1.03E+00
EXOSC9,7.10E-01,8.83E-01,-1.03E+00
PTPRA,8.07E-01,9.31E-01,-1.03E+00
PHACTR4,7.97E-01,9.27E-01,-1.03E+00
S100PBP,8.60E-01,9.52E-01,-1.03E+00
KARS,6.61E-01,8.57E-01,-1.03E+00
CHMP2A,7.96E-01,9.27E-01,-1.03E+00
ACOX1,7.51E-01,9.06E-01,-1.03E+00
L3HYPDH,8.98E-01,9.65E-01,-1.03E+00
MRPL27,8.01E-01,9.29E-01,-1.03E+00
ZNF281,8.54E-01,9.51E-01,-1.03E+00
PEF1,9.36E-01,9.78E-01,-1.03E+00
LTBP4,8.22E-01,9.37E-01,-1.03E+00
ALDOA,7.58E-01,9.09E-01,-1.03E+00
NDUFB4,7.28E-01,8.94E-01,-1.03E+00
DDX19B,7.78E-01,9.19E-01,-1.03E+00
CLASP2,8.06E-01,9.31E-01,-1.03E+00
POLR2I,8.00E-01,9.28E-01,-1.03E+00
MRPS5,7.60E-01,9.10E-01,-1.03E+00
TPD52L2,7.64E-01,9.12E-01,-1.03E+00
PRMT9,9.87E-01,9.96E-01,-1.03E+00
SNHG17,8.70E-01,9.55E-01,-1.03E+00
PHTF1,8.51E-01,9.50E-01,-1.03E+00
MRPS7,6.76E-01,8.65E-01,-1.03E+00
KRIT1,8.79E-01,9.58E-01,-1.03E+00
PDE12,9.65E-01,9.90E-01,-1.03E+00
AMDHD2,8.52E-01,9.50E-01,-1.03E+00
CDK11A,8.86E-01,9.61E-01,-1.03E+00
NQO2,7.34E-01,8.96E-01,-1.03E+00
SURF4,7.18E-01,8.88E-01,-1.03E+00
TCF25,8.11E-01,9.33E-01,-1.03E+00
AC007537.1,7.87E-01,9.23E-01,-1.03E+00
CCNQ,7.72E-01,9.17E-01,-1.03E+00
TMEM254,8.69E-01,9.55E-01,-1.03E+00
TRAPPC4,7.61E-01,9.11E-01,-1.03E+00
ISG20L2,6.93E-01,8.75E-01,-1.03E+00
AC132008.2,9.38E-01,9.79E-01,-1.03E+00
AC112191.2,7.68E-01,9.15E-01,-1.03E+00
AP1S1,8.42E-01,9.46E-01,-1.03E+00
SDAD1P2,6.86E-01,8.71E-01,-1.03E+00
EIF2S3B,8.75E-01,9.57E-01,-1.03E+00
PTDSS1,7.61E-01,9.11E-01,-1.03E+00
EMD,6.99E-01,8.77E-01,-1.03E+00
RNF5,8.81E-01,9.59E-01,-1.03E+00
SULF2,1.05E-01,3.15E-01,-1.03E+00
CXorf40A,8.64E-01,9.53E-01,-1.03E+00
GRB10,8.36E-01,9.43E-01,-1.03E+00
FAM192A,5.71E-01,8.01E-01,-1.03E+00
C9orf72,9.55E-01,9.86E-01,-1.03E+00
SDHB,9.51E-01,9.84E-01,-1.03E+00
CSNK1D,7.34E-01,8.96E-01,-1.03E+00
MSH2,8.34E-01,9.42E-01,-1.03E+00
ADGRE5,7.31E-01,8.95E-01,-1.03E+00
ALKBH4,7.54E-01,9.07E-01,-1.03E+00
AK2,6.54E-01,8.51E-01,-1.03E+00
AC100810.1,9.31E-01,9.77E-01,-1.03E+00
UBAC2,7.34E-01,8.96E-01,-1.03E+00
MTPAP,8.44E-01,9.47E-01,-1.03E+00
IMMP1L,8.47E-01,9.48E-01,-1.03E+00
NDE1,7.60E-01,9.10E-01,-1.03E+00
LRBA,7.68E-01,9.15E-01,-1.03E+00
NACC1,8.64E-01,9.53E-01,-1.03E+00
AL591034.1,8.86E-01,9.61E-01,-1.03E+00
TAF1B,7.98E-01,9.28E-01,-1.03E+00
DGAT2,5.72E-01,8.01E-01,-1.03E+00
EBLN2,8.47E-01,9.48E-01,-1.03E+00
TTC9C,8.83E-01,9.60E-01,-1.03E+00
RAD50,7.54E-01,9.07E-01,-1.03E+00
ZHX1,7.97E-01,9.28E-01,-1.03E+00
TMEM94,8.27E-01,9.39E-01,-1.03E+00
C3orf38,8.97E-01,9.65E-01,-1.03E+00
QRICH1,9.48E-01,9.84E-01,-1.03E+00
ZBTB20,8.27E-01,9.39E-01,-1.03E+00
PDS5A,6.82E-01,8.68E-01,-1.03E+00
MIEF1,6.76E-01,8.65E-01,-1.03E+00
ERI3,8.43E-01,9.46E-01,-1.03E+00
DYNC1LI2,5.88E-01,8.11E-01,-1.03E+00
SDE2,8.15E-01,9.34E-01,-1.03E+00
PRCC,8.60E-01,9.52E-01,-1.03E+00
MFSD13A,8.83E-01,9.60E-01,-1.03E+00
SFXN1,7.72E-01,9.17E-01,-1.03E+00
NAGA,8.93E-01,9.64E-01,-1.03E+00
FCHSD2,7.80E-01,9.20E-01,-1.03E+00
HEATR6,7.10E-01,8.83E-01,-1.03E+00
CROCCP2,8.66E-01,9.54E-01,-1.03E+00
ARHGAP17,7.77E-01,9.19E-01,-1.03E+00
PCBP1-AS1,9.41E-01,9.81E-01,-1.03E+00
MVP,7.14E-01,8.85E-01,-1.03E+00
NAA16,9.19E-01,9.71E-01,-1.03E+00
COL4A2,7.21E-01,8.89E-01,-1.03E+00
PLPBP,7.93E-01,9.25E-01,-1.03E+00
ZNF830,8.20E-01,9.36E-01,-1.03E+00
RHOC,8.23E-01,9.38E-01,-1.03E+00
STK11,8.79E-01,9.58E-01,-1.03E+00
USP16,5.37E-01,7.76E-01,-1.03E+00
RPP38,7.75E-01,9.18E-01,-1.03E+00
MTERF4,8.48E-01,9.48E-01,-1.03E+00
TMLHE,9.94E-01,9.98E-01,-1.03E+00
BLOC1S1,8.28E-01,9.40E-01,-1.03E+00
PPIH,8.20E-01,9.36E-01,-1.03E+00
FBXW5,7.83E-01,9.21E-01,-1.03E+00
WDR54,7.65E-01,9.12E-01,-1.03E+00
CDYL,8.17E-01,9.35E-01,-1.03E+00
PHTF2,7.99E-01,9.28E-01,-1.03E+00
ZBED3,8.17E-01,9.35E-01,-1.03E+00
HEXIM1,8.14E-01,9.34E-01,-1.03E+00
AC099568.2,9.37E-01,9.79E-01,-1.03E+00
SKP1,7.33E-01,8.96E-01,-1.03E+00
FAM214B,8.99E-01,9.65E-01,-1.03E+00
TAF3,7.77E-01,9.19E-01,-1.03E+00
SRM,7.98E-01,9.28E-01,-1.03E+00
PLEKHJ1,8.24E-01,9.38E-01,-1.03E+00
PNP,8.28E-01,9.40E-01,-1.03E+00
BIVM-ERCC5,9.93E-01,9.98E-01,-1.03E+00
DYNLL1,8.19E-01,9.36E-01,-1.03E+00
DZIP1L,9.76E-01,9.92E-01,-1.03E+00
KATNAL1,7.83E-01,9.21E-01,-1.03E+00
PRRC2B,5.71E-01,8.01E-01,-1.03E+00
WDTC1,9.26E-01,9.75E-01,-1.03E+00
MFSD6,8.51E-01,9.50E-01,-1.03E+00
CDC6,6.02E-01,8.21E-01,-1.03E+00
ARMC8,9.72E-01,9.91E-01,-1.03E+00
ARID1A,7.98E-01,9.28E-01,-1.03E+00
IDS,7.62E-01,9.11E-01,-1.03E+00
KIAA0232,8.58E-01,9.51E-01,-1.03E+00
SUPT20H,7.34E-01,8.96E-01,-1.03E+00
TMCO4,8.65E-01,9.54E-01,-1.03E+00
QKI,8.53E-01,9.50E-01,-1.03E+00
HSPH1,5.64E-01,7.96E-01,-1.03E+00
RERE,6.87E-01,8.72E-01,-1.03E+00
TRIM26,8.04E-01,9.30E-01,-1.03E+00
HPS4,9.43E-01,9.82E-01,-1.03E+00
FAM208B,6.68E-01,8.60E-01,-1.03E+00
AC005005.1,8.63E-01,9.53E-01,-1.03E+00
PLEKHO2,9.59E-01,9.88E-01,-1.03E+00
SAE1,5.90E-01,8.12E-01,-1.03E+00
MAIP1,9.37E-01,9.79E-01,-1.03E+00
IMPAD1,8.00E-01,9.29E-01,-1.03E+00
SART3,8.56E-01,9.51E-01,-1.03E+00
TMEM51,7.96E-01,9.27E-01,-1.03E+00
SMYD5,8.51E-01,9.50E-01,-1.03E+00
ATP5S,7.78E-01,9.19E-01,-1.03E+00
FZD3,6.55E-01,8.52E-01,-1.03E+00
FAM210A,6.24E-01,8.33E-01,-1.03E+00
LRRC8E,7.85E-01,9.22E-01,-1.03E+00
UBA6-AS1,8.15E-01,9.34E-01,-1.03E+00
RBAK,7.16E-01,8.87E-01,-1.03E+00
TLCD2,7.49E-01,9.05E-01,-1.03E+00
FAM3C,8.28E-01,9.40E-01,-1.03E+00
CEP44,8.55E-01,9.51E-01,-1.03E+00
AGAP1,6.87E-01,8.72E-01,-1.03E+00
PTP4A2,4.81E-01,7.36E-01,-1.03E+00
HLA-A,6.82E-01,8.68E-01,-1.03E+00
ANAPC1,8.73E-01,9.56E-01,-1.03E+00
LDLRAP1,8.08E-01,9.31E-01,-1.03E+00
NEIL3,6.62E-01,8.57E-01,-1.03E+00
HS6ST1,8.53E-01,9.50E-01,-1.03E+00
LYAR,8.03E-01,9.30E-01,-1.03E+00
U2AF1L5,8.65E-01,9.54E-01,-1.03E+00
CD2BP2,6.43E-01,8.44E-01,-1.03E+00
POMT1,8.67E-01,9.54E-01,-1.03E+00
AL353194.1,8.12E-01,9.33E-01,-1.03E+00
OSBPL11,8.02E-01,9.30E-01,-1.03E+00
UBQLN1,8.30E-01,9.41E-01,-1.03E+00
KAT2B,7.94E-01,9.26E-01,-1.03E+00
KNOP1,6.01E-01,8.20E-01,-1.03E+00
STX4,7.15E-01,8.86E-01,-1.04E+00
THAP3,8.51E-01,9.50E-01,-1.04E+00
C1orf122,8.67E-01,9.54E-01,-1.04E+00
MRRFP1,8.91E-01,9.64E-01,-1.04E+00
PLA2G12A,7.33E-01,8.96E-01,-1.04E+00
AC046176.1,7.75E-01,9.18E-01,-1.04E+00
COX5B,5.87E-01,8.10E-01,-1.04E+00
RPL32,4.93E-01,7.47E-01,-1.04E+00
ATP5F1A,7.16E-01,8.87E-01,-1.04E+00
FLOT1,8.04E-01,9.30E-01,-1.04E+00
DFFA,6.88E-01,8.72E-01,-1.04E+00
RAB11FIP3,9.61E-01,9.89E-01,-1.04E+00
MSRB3,7.01E-01,8.78E-01,-1.04E+00
RBM17,5.78E-01,8.05E-01,-1.04E+00
URB1-AS1,8.97E-01,9.65E-01,-1.04E+00
ZCCHC8,8.16E-01,9.35E-01,-1.04E+00
GOLGA1,7.74E-01,9.18E-01,-1.04E+00
GGCX,8.61E-01,9.52E-01,-1.04E+00
PALLD,3.99E-01,6.68E-01,-1.04E+00
NOSIP,7.46E-01,9.03E-01,-1.04E+00
UBE2Q1,6.63E-01,8.57E-01,-1.04E+00
DNAJC8,7.90E-01,9.24E-01,-1.04E+00
CDC27,5.63E-01,7.96E-01,-1.04E+00
MFN1,7.35E-01,8.96E-01,-1.04E+00
PSPH,6.03E-01,8.21E-01,-1.04E+00
SURF1,7.83E-01,9.21E-01,-1.04E+00
JPX,6.28E-01,8.35E-01,-1.04E+00
GABARAPL2,8.67E-01,9.54E-01,-1.04E+00
FAM222B,6.86E-01,8.71E-01,-1.04E+00
LPP,6.57E-01,8.53E-01,-1.04E+00
MRPL53,8.25E-01,9.39E-01,-1.04E+00
ANKRD40,9.70E-01,9.91E-01,-1.04E+00
DNAJC5,7.51E-01,9.06E-01,-1.04E+00
HDGF,5.18E-01,7.65E-01,-1.04E+00
TRAK2,7.61E-01,9.11E-01,-1.04E+00
Sep-10,7.90E-01,9.24E-01,-1.04E+00
DENND5B,6.76E-01,8.65E-01,-1.04E+00
ZNF148,6.48E-01,8.47E-01,-1.04E+00
SLC16A2,8.43E-02,2.76E-01,-1.04E+00
GPX1,8.31E-01,9.42E-01,-1.04E+00
TMEM135,8.25E-01,9.39E-01,-1.04E+00
ITPRIPL2,6.30E-01,8.36E-01,-1.04E+00
CLDND1,9.53E-01,9.86E-01,-1.04E+00
AC010642.2,9.12E-01,9.68E-01,-1.04E+00
UMAD1,9.93E-01,9.98E-01,-1.04E+00
BOLA1,8.16E-01,9.35E-01,-1.04E+00
INTS1,9.86E-01,9.96E-01,-1.04E+00
SELENOO,9.12E-01,9.68E-01,-1.04E+00
ATP8B2,7.73E-01,9.17E-01,-1.04E+00
CHTF8,8.21E-01,9.37E-01,-1.04E+00
RNF43,8.09E-01,9.32E-01,-1.04E+00
ZKSCAN1,6.72E-01,8.63E-01,-1.04E+00
BCL2L12,6.28E-01,8.35E-01,-1.04E+00
OTUB2,9.04E-01,9.67E-01,-1.04E+00
AC026304.1,9.82E-01,9.95E-01,-1.04E+00
TAPBPL,9.23E-01,9.74E-01,-1.04E+00
STARD3NL,8.47E-01,9.48E-01,-1.04E+00
OSBPL1A,6.58E-01,8.54E-01,-1.04E+00
RANBP1,6.77E-01,8.65E-01,-1.04E+00
CCNF,7.26E-01,8.93E-01,-1.04E+00
MR1,8.82E-01,9.60E-01,-1.04E+00
DNTTIP2,4.81E-01,7.36E-01,-1.04E+00
AC083843.3,8.80E-01,9.59E-01,-1.04E+00
AL391244.1,8.44E-01,9.47E-01,-1.04E+00
CYTOR,6.64E-01,8.57E-01,-1.04E+00
RFNG,8.69E-01,9.55E-01,-1.04E+00
PDZD11,7.47E-01,9.03E-01,-1.04E+00
SRRM1,5.29E-01,7.70E-01,-1.04E+00
ZFAND2B,8.42E-01,9.46E-01,-1.04E+00
SMIM12,6.96E-01,8.76E-01,-1.04E+00
EIF3C,6.41E-01,8.43E-01,-1.04E+00
